Party,Parent Category,Category,Gas,Unit,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1. Energy,1.A.1 Energy Industries,Aggregate GHGs,kt CO₂ equivalent,143211,143211,146433,149756,151531,152346,158180,162783,169459,182113,189282,192244,199507,201666,205154,214252,216611,221109,224173,225967,232528,226660,220712,222471,211473,205297,212042,219422,218428,214601,213814
Australia,1. Energy,1.A.1 Energy Industries,CH₄,kt,6.11863,6.11863,5.92687,5.92631,6.32758,6.11524,6.53761,6.77968,7.06199,9.083,9.22866,11.4955,11.8659,12.9159,11.7785,12.4649,12.3226,12.6948,12.9764,14.4449,22.7031,23.296,18.0751,21.8313,20.6113,25.9163,29.0914,36.6666,34.4295,38.1165,35.4814
Australia,1. Energy,1.A.1 Energy Industries,CO₂,kt,142551,142551,145799,149114,150857,151679,157481,162066,168676,181215,188386,191258,198425,200451,203856,212911,215220,219705,222728,224490,230788,224948,219013,220698,209739,203485,210371,217548,216606,212752,212031
Australia,1. Energy,1.A.1 Energy Industries,N₂O,kt,1.70093,1.70093,1.62907,1.6581,1.73069,1.72739,1.79767,1.83785,2.03525,2.25152,2.23013,2.34264,2.63682,2.99218,3.36517,3.45471,3.63567,3.64508,3.76122,3.74331,3.93445,3.78807,4.18414,4.11872,4.09097,3.90624,3.16708,3.21499,3.22723,3.00801,3.00738
Australia,1. Energy,1.A.2 Manufacturing Industries and Construction,Aggregate GHGs,kt CO₂ equivalent,36256.2,36256.2,35791.4,35344.1,35927,36718.5,37662.5,37695.8,37790.8,37893.7,38145.4,38952.2,38450.8,39129,39623.7,40503.7,41584.2,40647.6,40926.6,43037.3,40545.8,39742,40918.9,42912.9,46012.1,46383.4,42487.3,40968.5,40070.5,40950.9,40792.6
Australia,1. Energy,1.A.2 Manufacturing Industries and Construction,CH₄,kt,2.06018,2.06018,1.99692,1.87683,2.0535,2.17364,2.23236,2.2821,2.24446,2.28014,2.28609,2.25538,2.09655,2.08361,2.11551,2.18669,2.28072,2.34736,2.39725,2.47574,1.94139,2.2706,2.27477,2.38346,2.56757,2.45715,2.51371,2.45671,2.44687,2.3775,2.30902
Australia,1. Energy,1.A.2 Manufacturing Industries and Construction,CO₂,kt,35866.5,35866.5,35411.6,34991.9,35543,36314.3,37242.6,37257.6,37342.4,37440.7,37694.6,38507.8,38028,38705.2,39195,40063.6,41127.2,40191.3,40457.9,42551.1,40172.1,39306.7,40476.9,42444,45496.8,45880.9,41983,40474.2,39559.3,40452.9,40308.6
Australia,1. Energy,1.A.2 Manufacturing Industries and Construction,N₂O,kt,1.13471,1.13471,1.10694,1.02431,1.11664,1.17389,1.22162,1.27913,1.31638,1.32899,1.32099,1.30224,1.24295,1.24726,1.26106,1.29354,1.34233,1.33423,1.37153,1.42404,1.09126,1.27027,1.29235,1.37349,1.51369,1.48014,1.48133,1.45239,1.51018,1.47157,1.43053
Australia,1. Energy,1.A.3 Transport,Aggregate GHGs,kt CO₂ equivalent,61394.6,61394.6,60799.8,61812.4,63393.8,64920.6,68268.8,70152.4,71456.3,71652.8,72525.6,74127.6,74092.4,75623.9,78104.6,81175.8,82209.5,83501.8,85455,86516.9,87357.4,88811,91426,91959.9,92168.4,93257.2,95386.2,96545.6,98848.4,100086,100458
Australia,1. Energy,1.A.3 Transport,CH₄,kt,26.3451,26.3451,26.2942,26.9899,27.834,28.5853,29.6683,30.1822,30.2382,29.3087,28.7427,27.3168,26.0052,26.3231,25.4946,24.9254,21.9998,21.2665,19.8846,18.7679,18.0993,17.7209,16.6228,16.0143,15.4214,15.0887,15.0843,14.8781,14.7689,13.6247,12.9087
Australia,1. Energy,1.A.3 Transport,CO₂,kt,59821.6,59821.6,59163.8,60087.6,61562.2,62998.1,66231.6,68032.4,69277.2,69393.7,70156.6,71712.1,71659.4,73057.2,75417.3,78428.1,79578.6,80924.7,82930,84025.1,84941.1,86494.9,89173.7,89769.5,90053.2,91221.6,93378,94609.5,96952,98341,98770
Australia,1. Energy,1.A.3 Transport,N₂O,kt,3.06823,3.06823,3.28376,3.52383,3.81134,4.05343,4.34757,4.58213,4.77588,5.12199,5.53842,5.81394,5.98268,6.40444,6.879,7.12928,6.98296,6.86377,6.80527,6.78715,6.59011,6.2856,6.1638,6.00684,5.80421,5.56498,5.47337,5.24893,5.12487,4.71188,4.58316
Australia,1. Energy,1.A.4 Other Sectors,Aggregate GHGs,kt CO₂ equivalent,15604.4,15604.4,15770.1,16215.7,16671.1,16540.3,17156.2,17486.1,17677.4,17853.9,17837.3,18222.8,19055.6,19131.5,19734.7,19662.5,20076.9,20233.7,20072.4,20421.5,20596.7,20930.9,21346.5,21791.5,22215.3,22642.1,23272.2,24118.5,24498.9,24627.4,23500.3
Australia,1. Energy,1.A.4 Other Sectors,CH₄,kt,97.0984,97.0984,99.7763,102.606,102.482,99.3265,95.3581,91.8783,88.9536,82.0004,75.4168,69.2717,67.737,55.2464,54.5952,52.7026,50.7047,49.0873,47.3945,45.6358,43.0115,41.1476,39.2288,39.23,39.2435,38.4849,37.1605,36.7533,36.4999,36.0489,35.5127
